X1,X2,Y,domain
-4.1881048100000005,-0.19526175,1,0
-4.905093797,-0.85442851,1,0
-5.11382384,-0.14677222,1,0
-5.49404691,-1.2177388,-1,0
-5.17452967,-0.94553595,-1,0
-5.52868277,-1.024443,-1,0
-3.8085202000000002,-1.24735,1,0
-4.5597840099999996,0.3985621,1,0
-5.96651584,1.2243761,-1,0
-6.5065949,-0.59262775,1,0
-6.0225304,0.96768609,-1,0
-3.8595167999999997,0.49352922,-1,0
-4.72898318,0.059516226,1,0
-5.56283341,1.2944358,-1,0
-4.35827034,0.90910488,-1,0
-5.44343653,1.8565236,-1,0
-5.34500318,0.37622553,1,0
-4.08601292,0.25968803,-1,0
-6.5271966,-1.0102436,1,0
-4.34926918,-1.0813585,-1,0
-4.47442904,1.4752495,-1,0
-5.2696773,-1.2835464,-1,0
-4.26296209,-0.18313105,1,0
-4.57570255,-0.83961724,-1,0
-5.8812422,-1.5902828,-1,0
-4.5708195,1.9427791,1,0
-5.8334126699999995,-0.56896174,-1,0
-3.75618,0.60810672,-1,0
-4.39603571,1.0273918,-1,0
-5.8362055999999995,-0.64989802,1,0
-5.47240411,-0.0198207,1,0
-3.7139239,1.0738453,-1,0
-5.26727963,-0.89646162,-1,0
-4.83972233,-1.4047891,-1,0
-3.6860307,0.11775503,-1,0
-5.99536797,-0.93708522,-1,0
-2.9971779,1.2838173,1,0
-4.55976028,1.1569716,-1,0
-4.903651737,-1.3778462,-1,0
-4.53372326,0.28108423,1,0
-4.19224713,-0.83143919,1,0
-3.0514345,1.0869527,1,0
-5.023656407,-1.0014752,-1,0
-6.0339561,1.0067604,-1,0
-6.7458259,-1.2711615,1,0
-5.37573484,-0.97481747,-1,0
-5.31060713,0.99468996,1,0
-2.4738784,1.4978309,1,0
-5.002638012,-1.0179287,-1,0
-4.75690857,1.6141856,-1,0
-5.3003515,-1.0362901,-1,0
-5.14783923,-1.3709437,-1,0
-6.2512256,-1.277374,-1,0
-4.60450601,0.42339717,1,0
-3.0733841,-0.84231887,-1,0
-6.4936222,0.41501319,-1,0
-4.85352291,-0.15139108,1,0
-3.9033106,0.13123755,-1,0
-3.5387379,-1.0604665,1,0
-5.63153317,1.3502004,-1,0
-5.1797805199999996,0.5947293,1,0
-6.198575,-1.4002749,-1,0
-4.62274489,0.19833125,1,0
-4.09249501,0.12727622,-1,0
-5.2486116,0.023369702,1,0
-5.46619374,-0.85070979,-1,0
-4.37489787,1.6701442,-1,0
-5.11317513,2.132584,1,0
-4.49882017,0.055262894,1,0
-6.7046687,0.42235892,-1,0
-5.55834506,0.57241089,1,0
-4.988570474,1.6606453,-1,0
-5.83356595,1.4067252,-1,0
-6.6514951,-0.73067487,1,0
-6.6687282,-0.00451349,1,0
-5.8157646100000004,0.56218928,-1,0
-3.7765904,-0.34454435,-1,0
-4.945719569,-0.96718058,-1,0
-4.71302973,-1.4476328,-1,0
-4.88794188,0.23829856,1,0
-4.995745726,1.6062127,-1,0
-5.87657605,-1.0813918,-1,0
-4.02459833,-1.3443602,1,0
-4.73201432,-1.0838809,1,0
-5.74283366,0.68493613,1,0
-6.7537961,-1.6277624,1,0
-5.48725551,-0.53564691,1,0
-4.86825114,1.99729,-1,0
-4.56736066,0.38030833,1,0
-3.7887133,0.051182462,-1,0
-4.50959876,-0.047655946,1,0
-5.9899330299999995,0.23110076,1,0
-5.68938389,-1.4540009,-1,0
-4.0703381,0.64971694,-1,0
-4.6171855,-0.98722167,-1,0
-4.8372554,-1.0769827,-1,0
-4.87027279,1.4127566,-1,0
-5.87503114,0.59121775,1,0
-5.5357525,1.0475619,-1,0
-4.514958,0.63499931,-1,0
-6.3147157,0.17543885,1,0
-6.5690626000000005,-1.7373937,1,0
-5.18959921,0.16789373,1,0
-5.95559755,-1.6133126,-1,0
-4.972707712,-0.68297547,-1,0
-5.08946415,1.6478409,1,0
-3.9162227,0.088001654,-1,0
-3.7301608,0.43265782,-1,0
-4.926571257,-0.16208939,1,0
-3.2246775999999997,1.1884779,1,0
-4.42270208,0.6275398,-1,0
-3.7049412,-1.2773602,1,0
-5.58703303,1.0104809,-1,0
-4.56904203,-1.4596016,-1,0
-4.7012153,1.5595774,-1,0
-3.9018208000000003,0.50761505,-1,0
-5.85261893,-0.25387828,1,0
-6.2601332,-1.008965,1,0
-6.9617675000000006,-0.94170248,1,0
-4.1165204,0.10624851,1,0
-4.57953996,1.0955522,-1,0
-6.1443552,0.30423699,1,0
-5.22338316,-0.41941769,1,0
-3.0534701,1.5270343,1,0
-5.13817716,-1.3698007,-1,0
-5.13657624,1.435896,-1,0
-4.8507874,1.9785962,-1,0
-4.6142342,1.9150487,-1,0
-3.4155116000000003,-0.46781526,-1,0
-3.8271356,-1.3890399,1,0
-4.84838446,1.5321037,-1,0
-4.11674463,-1.0035712,1,0
-5.33841077,-1.3286818,-1,0
-5.43301816,-1.1269896,-1,0
-4.9912073,1.4701807,-1,0
-6.8077884,-0.64264539,1,0
-4.71596999,2.3061099,-1,0
-5.15546343,-1.0316712,-1,0
-6.0058313000000005,-0.090822288,1,0
-5.026354543,-0.95162277,-1,0
-3.7749969,-0.61487364,1,0
-4.56595617,0.29504148,1,0
-3.4268731,1.1598287,1,0
-4.971481,1.721494,1,0
-4.18265141,-0.94122222,1,0
-6.1384918,1.0817143,-1,0
-4.0024077,0.3701896,-1,0
-5.6953306,-0.7359448,-1,0
-4.28725992,2.044493,1,0
-6.4641388,1.1123698,-1,0
-7.0675256,0.031802872,-1,0
-4.5597967,-0.93584371,-1,0
-3.2902469,-0.043977753,-1,0
-6.1775535999999995,0.86164466,-1,0
-5.85884769,0.88534895,-1,0
-5.28541775,1.3862633,-1,0
-3.2696300000000003,1.6833123,1,0
-4.8168661,-1.2098094,-1,0
-6.7772159,-0.37829675,1,0
-4.67773666,-1.0372916,-1,0
-5.84039908,-1.0450938,-1,0
-5.23444094,-0.97379565,-1,0
-6.248087,-0.68908406,1,0
-4.43055587,1.6177067,1,0
-4.83675642,-1.314943,-1,0
-6.8029779999999995,-1.6243495,1,0
-5.12103347,-1.0487175,-1,0
-4.67555417,1.6826196,1,0
-5.018882659,-1.2808653,-1,0
-4.53705558,0.49798955,-1,0
-6.3982521000000006,1.1941824,-1,0
-6.0365044,-0.13068293,1,0
-4.994798859,0.23989881,1,0
-4.80369976,1.0793388,-1,0
-5.076688985,0.000168466,1,0
-6.8634337,-1.7789332,1,0
-5.76672259,-1.2976713,-1,0
-4.09285929,0.19135237,-1,0
-3.3784687,1.1896617,1,0
-5.5968241800000005,0.23235438,1,0
